reviewerid,movie-code,rating
116,150,1
328,56,3
470,149,2
566,51,1
181,181,1
131,6,1
236,24,3
125,95,1
247,84,1
500,108,1
209,38,3
128,159,1
431,4,2
509,150,1
342,118,1
120,128,1
215,80,1
449,27,1
268,114,3
450,114,1
310,148,1
438,45,1
298,131,1
271,44,1
391,15,1
491,131,2
65,137,2
291,140,1
83,150,1
54,54,3
466,57,3
393,195,2
249,33,1
180,111,2
508,49,1
97,12,1
532,19,1
201,69,3
517,86,1
482,121,1
122,24,2
443,8,1
490,124,3
437,138,1
138,152,1
476,181,1
389,114,1
479,92,2
208,189,2
159,111,1
482,136,2
483,115,1
332,169,1
42,148,1
349,134,2
517,195,3
301,110,2
124,67,2
426,1,3
116,147,1
409,80,2
268,39,2
20,58,2
519,54,2
360,109,1
174,104,2
507,114,1
231,73,2
281,38,1
367,50,2
111,97,1
193,114,1
540,137,1
296,111,1
162,189,1
421,51,2
197,16,1
168,89,2
44,111,1
368,85,3
531,124,1
538,180,1
518,68,1
445,41,2
558,4,2
438,39,1
12,57,3
466,123,2
243,14,1
180,2,2
166,196,2
81,180,3
375,80,2
546,31,3
386,89,1
149,23,1
120,169,1
272,128,1
400,170,2
338,185,2
548,143,2
58,6,2
474,33,2
33,36,1
125,103,1
209,135,1
220,147,1
228,131,2
302,85,1
538,133,1
393,6,2
5,129,1
330,72,1
446,136,1
121,171,1
80,19,1
230,195,2
438,44,1
10,50,1
377,21,2
545,138,1
115,5,1
45,92,1
454,188,2
208,11,2
543,22,1
171,146,2
73,9,2
46,9,1
8,82,3
570,100,2
368,111,1
557,111,1
311,147,2
203,53,3
39,74,1
189,169,2
104,24,1
476,41,1
463,15,1
450,176,1
408,56,1
538,57,1
343,174,1
506,136,1
442,36,1
561,60,2
408,134,3
504,161,2
368,27,1
472,176,1
153,33,1
89,150,3
0,106,2
268,175,2
298,69,3
330,102,2
524,168,3
6,38,2
142,110,1
473,126,2
456,5,2
359,91,3
193,91,2
127,142,1
553,54,1
352,106,1
567,136,1
119,164,3
550,197,1
93,143,1
209,86,1
15,194,1
509,54,2
167,15,1
434,58,2
27,6,2
391,38,1
310,50,2
476,175,2
525,128,1
42,6,2
232,139,1
456,172,1
15,54,2
79,24,2
315,128,3
282,57,1
94,169,2
146,27,1
294,75,1
304,46,1
229,97,1
407,54,2
216,49,1
109,7,3
22,94,1
199,7,1
216,14,3
396,39,2
63,82,3
476,128,1
14,67,2
105,45,1
513,63,3
50,181,1
431,166,2
380,88,3
157,80,2
313,190,1
55,176,2
158,118,1
64,8,2
531,100,1
414,57,1
247,67,3
363,87,1
203,30,2
65,19,1
142,36,3
414,11,1
299,101,3
390,3,2
235,35,1
227,147,2
244,6,1
361,72,3
182,169,1
111,163,1
172,25,1
147,83,3
315,150,3
63,121,1
30,28,3
490,152,1
572,121,2
76,173,3
442,113,1
558,112,2
532,1,2
219,6,1
393,199,3
92,56,2
270,14,1
437,121,2
42,131,1
317,69,2
359,114,2
358,175,2
502,75,2
300,91,2
475,72,1
389,148,2
179,166,2
283,39,2
334,27,2
236,96,2
47,167,2
462,15,1
427,171,1
531,86,1
79,78,3
153,80,2
73,45,3
296,71,1
170,50,1
81,169,1
432,23,1
289,104,3
225,16,1
517,153,1
444,12,1
345,108,3
342,163,1
571,87,1
531,38,1
286,129,2
99,6,2
80,85,2
332,69,3
428,25,1
92,5,1
67,128,1
282,36,2
482,3,1
552,73,2
308,6,2
416,134,1
99,142,1
457,8,2
528,4,1
339,114,1
