reviewerid,movie-code,rating
0,171,2
0,155,2
0,71,2
0,87,0
0,157,2
0,76,2
0,118,2
0,200,2
0,106,1
0,140,2
0,190,2
0,84,2
0,191,2
0,82,2
0,39,1
0,117,2
0,153,2
0,47,2
0,113,2
0,3,2
0,83,2
0,150,0
0,51,1
0,138,2
0,163,1
0,195,2
0,1,2
0,197,2
0,5,2
0,30,2
0,170,2
0,169,2
0,31,2
0,17,2
0,152,2
0,26,2
0,48,2
0,2,1
0,92,2
0,180,2
0,168,2
0,44,2
0,143,2
0,127,1
0,43,2
0,49,2
0,16,2
0,144,2
0,29,2
0,58,2
0,25,2
0,80,0
0,7,1
0,18,1
0,89,2
0,4,2
0,189,2
0,104,2
0,188,2
0,68,0
0,181,2
0,45,1
0,192,2
0,8,2
0,164,2
0,183,2
0,177,2
0,32,2
0,141,2
0,13,1
0,97,2
0,66,2
0,103,2
0,81,1
0,9,2
0,187,2
0,60,2
0,56,2
0,99,2
0,132,2
0,149,1
0,90,2
0,59,2
0,156,2
0,100,0
0,35,2
0,116,2
0,139,2
0,11,2
0,111,0
0,62,2
0,46,2
0,95,1
0,148,0
0,33,2
0,86,0
0,174,2
0,57,1
0,167,0
0,184,2
0,73,2
0,160,2
0,27,2
0,12,2
0,165,2
0,14,0
0,70,1
0,135,2
0,54,2
0,128,1
0,182,2
0,137,2
0,55,2
0,166,2
0,146,2
0,142,2
1,68,2
1,52,2
1,84,1
1,95,2
1,39,1
1,18,2
1,147,1
1,163,2
1,67,2
1,124,0
1,114,2
1,150,2
1,88,0
1,62,2
1,118,1
1,17,2
1,139,2
1,55,2
1,46,2
1,128,1
1,132,2
1,116,2
1,42,2
1,3,1
1,9,2
1,81,2
1,170,2
1,158,1
1,133,1
1,66,2
1,2,2
1,29,2
1,111,2
1,69,2
1,49,2
1,38,2
1,162,1
1,13,2
1,60,0
1,112,2
1,144,2
1,120,2
1,154,2
1,148,2
1,152,2
1,155,2
1,129,0
1,146,2
1,126,2
1,105,2
1,130,2
1,43,0
1,73,2
1,20,2
1,70,2
1,19,0
1,92,2
1,99,2
1,10,2
1,169,2
1,85,2
1,83,2
1,54,2
1,121,2
1,106,2
1,166,0
1,157,2
1,142,1
1,137,2
1,89,1
1,34,1
1,5,1
1,104,2
1,149,2
1,134,1
1,64,1
1,4,2
1,61,2
1,100,2
1,48,2
1,119,1
1,12,0
1,32,0
1,78,2
