reviewerid,movie-code,rating
112,30,3
563,197,2
207,164,3
374,191,3
258,34,3
9,45,3
313,102,3
227,200,3
511,107,3
125,62,2
514,79,3
22,89,3
24,61,3
383,117,2
430,76,2
425,59,3
554,4,3
528,79,3
519,59,3
142,51,2
0,43,3
64,186,3
47,8,2
360,47,2
442,148,2
17,14,2
232,97,3
448,193,2
130,138,2
375,97,3
351,200,2
161,48,1
462,117,2
438,107,2
28,186,3
96,8,3
24,151,3
374,53,3
562,112,3
146,160,3
480,80,3
151,190,3
275,66,3
232,165,2
68,87,3
433,58,3
111,33,3
268,60,3
114,103,3
466,31,3
10,138,3
355,31,2
424,132,3
62,102,3
226,1,3
141,89,2
100,192,3
237,17,3
509,151,3
437,43,3
62,158,3
343,18,3
554,167,3
195,190,3
179,18,3
505,70,2
557,22,3
559,121,3
454,30,3
382,160,2
364,200,3
410,67,3
14,146,2
533,195,3
309,4,2
155,3,3
385,139,3
442,200,3
130,70,3
418,97,2
320,87,3
47,170,3
317,137,3
168,13,3
156,9,3
473,43,3
102,99,3
122,173,1
303,141,3
459,37,2
83,30,3
531,62,3
366,10,3
472,12,2
290,137,3
69,119,2
370,99,3
370,60,3
479,103,3
494,44,3
65,66,3
570,53,2
419,192,3
483,132,3
260,192,1
184,70,2
316,170,3
173,63,3
349,95,3
155,109,1
545,28,3
184,160,3
392,96,3
401,71,3
355,65,2
222,70,2
466,41,3
466,184,3
301,81,1
371,9,3
200,117,2
387,76,1
220,168,3
281,165,3
528,180,3
232,79,3
414,97,3
288,23,2
247,53,1
114,65,3
253,39,2
512,21,2
481,71,3
472,187,3
293,120,1
518,144,2
441,132,3
104,66,3
290,99,3
472,198,3
530,133,3
308,179,3
234,27,3
470,22,2
554,185,3
308,166,3
376,186,2
419,90,3
107,190,1
296,31,3
22,3,2
297,2,2
306,76,2
65,67,2
24,185,3
237,64,3
89,53,3
256,119,3
90,136,2
426,81,3
526,183,3
378,62,3
473,182,2
446,139,3
271,48,3
57,144,3
324,156,3
195,71,3
405,76,2
9,186,3
49,108,2
147,31,3
264,104,3
358,59,3
246,31,3
333,198,3
4,138,3
216,133,2
492,120,2
237,174,3
29,124,2
216,68,1
559,103,2
561,99,3
561,18,3
547,16,3
418,72,1
365,96,3
282,32,3
559,14,3
489,112,3
515,13,2
466,2,2
57,24,3
362,62,3
256,186,3
310,99,3
326,31,2
213,102,3
122,105,3
494,76,3
406,150,3
523,138,3
238,164,3
278,196,3
410,141,3
443,179,2
216,2,3
202,45,2
428,97,2
141,16,3
544,34,3
149,187,3
105,13,3
1,116,3
486,27,3
60,65,3
122,78,2
530,47,3
403,3,1
479,96,3
496,81,1
151,189,3
24,138,1
563,156,3
14,81,3
1,76,3
563,183,3
441,99,3
340,164,3
495,151,3
534,145,2
103,76,2
210,141,3
424,43,3
195,166,3
248,133,3
348,163,3
255,70,2
403,50,3
564,163,3
540,96,3
47,113,3
388,155,3
31,3,1
159,149,3
200,200,3
257,117,2
231,15,2
570,61,3
466,3,1
359,89,3
444,10,2
171,160,3
207,159,3
178,12,1
152,97,3
18,10,3
6,186,3
374,92,1
72,77,3
468,67,2
352,183,3
493,175,2
183,138,2
37,60,3
170,132,3
559,152,3
421,50,3
374,80,2
261,181,3
550,74,1
18,134,2
74,176,3
480,51,3
448,155,3
2,53,1
489,188,3
155,170,3
545,11,3
328,81,3
571,177,2
517,200,2
236,153,1
306,191,2
531,107,3
121,80,1
437,111,2
500,115,1
429,10,3
147,24,3
456,58,3
